3631077	106753	9264	1	12.00	21117.00	0.00	0.02	R	F	1992-07-25	1992-08-05	1992-08-10	NONE                     	TRUCK     	 carefully express acco
52257	25867	5868	1	8.00	14342.88	0.09	0.05	N	O	1997-08-09	1997-07-03	1997-09-07	NONE                     	SHIP      	s sublate. regular pinto beans affi
2797025	31566	6573	5	22.00	32946.32	0.06	0.06	N	O	1996-11-28	1996-11-22	1996-12-28	TAKE BACK RETURN         	MAIL      	tions nag 
5929664	137627	2654	4	44.00	73243.28	0.02	0.04	A	F	1994-01-13	1994-01-19	1994-01-15	DELIVER IN PERSON        	FOB       	nag around the carefully 
1360455	109366	9367	4	7.00	9627.52	0.07	0.08	A	F	1993-05-26	1993-03-05	1993-05-30	DELIVER IN PERSON        	MAIL      	ly slyly final ideas. ironic p
2846145	198656	3695	3	31.00	54394.15	0.06	0.06	A	F	1992-12-13	1992-11-25	1993-01-12	NONE                     	SHIP      	 sleep fluffil
4910439	137190	9704	3	36.00	44178.84	0.06	0.08	N	O	1997-02-23	1997-01-05	1997-03-22	DELIVER IN PERSON        	REG AIR   	pecial foxes p
1428643	7643	2644	2	3.00	4651.92	0.06	0.06	R	F	1993-12-24	1993-12-16	1994-01-16	NONE                     	REG AIR   	 wake slyly. carefu
4092481	160020	5053	1	45.00	48600.90	0.08	0.06	A	F	1993-04-05	1993-05-20	1993-05-01	NONE                     	AIR       	carefully blithely 
5175523	63829	3830	2	11.00	19721.02	0.04	0.06	R	F	1992-04-25	1992-04-26	1992-05-05	COLLECT COD              	RAIL      	ly above the regular ideas. carefully e
5047296	138915	6455	1	17.00	33216.47	0.02	0.08	N	O	1996-10-01	1996-08-19	1996-10-12	TAKE BACK RETURN         	SHIP      	beans. enticing requests boos
4489414	69108	9109	3	17.00	18310.70	0.05	0.01	N	O	1998-07-19	1998-07-29	1998-07-25	TAKE BACK RETURN         	FOB       	 cajole above the blithely express
2974308	132969	5483	1	5.00	10009.80	0.02	0.00	N	O	1995-08-22	1995-08-10	1995-09-13	TAKE BACK RETURN         	TRUCK     	 integrate slyly even deposi
4466530	187644	2681	3	12.00	20779.68	0.01	0.07	N	O	1998-06-12	1998-04-19	1998-06-25	DELIVER IN PERSON        	FOB       	yly final accounts grow carefully
1907396	86089	6090	2	3.00	3225.24	0.00	0.03	A	F	1992-10-22	1992-10-02	1992-11-21	TAKE BACK RETURN         	REG AIR   	courts. ironic decoys across the slyly
5064608	65837	5838	4	10.00	18028.30	0.02	0.04	N	O	1996-12-05	1996-09-17	1996-12-21	TAKE BACK RETURN         	RAIL      	into beans. carefull
3737125	98258	768	3	27.00	33918.75	0.06	0.05	N	O	1997-11-01	1997-09-28	1997-11-13	NONE                     	SHIP      	 even ideas. deposits use 
5941218	153063	3064	1	31.00	34597.86	0.10	0.06	N	O	1996-05-15	1996-05-26	1996-06-02	TAKE BACK RETURN         	MAIL      	unusual depos
3098981	70604	5619	6	46.00	72431.60	0.07	0.05	N	O	1996-01-26	1996-02-19	1996-02-07	DELIVER IN PERSON        	SHIP      	kages haggle final packages. instruct
4582848	99870	4889	6	29.00	54226.23	0.02	0.03	N	O	1997-12-28	1997-12-10	1998-01-06	TAKE BACK RETURN         	RAIL      	he permanently final foxes sublate slyly
4767332	168024	8025	3	32.00	34944.64	0.01	0.08	A	F	1992-03-04	1992-04-07	1992-03-22	DELIVER IN PERSON        	SHIP      	s. final deposits haggle. 
3891010	148923	8924	1	25.00	49298.00	0.00	0.08	N	O	1998-05-24	1998-05-08	1998-06-22	DELIVER IN PERSON        	FOB       	furiously. asymptotes will b
4883489	35525	3035	4	47.00	68644.44	0.01	0.02	N	O	1997-09-24	1997-10-27	1997-10-14	DELIVER IN PERSON        	REG AIR   	iously special requests. so
1179427	158150	3181	5	30.00	36244.50	0.10	0.02	R	F	1993-02-28	1993-04-26	1993-03-08	DELIVER IN PERSON        	FOB       	nal theodolites cajole-- slowly fina
2711680	52674	2675	5	47.00	76453.49	0.05	0.02	N	O	1998-10-25	1998-09-12	1998-11-14	NONE                     	AIR       	bout the furiously final packages. slyly r
3505991	148468	8469	1	27.00	40944.42	0.03	0.01	N	O	1996-02-19	1996-03-23	1996-03-02	NONE                     	TRUCK     	requests detect 
2086432	80841	3350	4	13.00	23683.92	0.02	0.06	N	O	1997-09-30	1997-09-24	1997-10-28	TAKE BACK RETURN         	TRUCK     	gular Tiresias. slyly even foxes after
4694084	168706	3739	4	49.00	86960.30	0.05	0.04	N	O	1998-05-29	1998-05-06	1998-06-26	TAKE BACK RETURN         	RAIL      	 blithely final packages integrate f
4452260	166337	8854	6	7.00	9823.31	0.00	0.00	N	O	1996-08-14	1996-08-11	1996-08-26	COLLECT COD              	SHIP      	 furiously bold requests against the furi
3608770	32858	7865	3	18.00	32235.30	0.06	0.06	R	F	1994-06-08	1994-07-04	1994-06-13	COLLECT COD              	FOB       	ar courts. quickly silent ideas use sl
2589601	153781	3782	6	31.00	56878.18	0.09	0.07	N	O	1996-11-12	1996-10-24	1996-11-28	DELIVER IN PERSON        	MAIL      	deposits. carefull
4101154	178035	553	2	5.00	5565.15	0.05	0.02	N	O	1998-03-18	1998-03-03	1998-04-04	DELIVER IN PERSON        	REG AIR   	usly bold 
5361826	63711	3712	3	32.00	53590.72	0.10	0.02	N	O	1996-03-13	1996-01-26	1996-03-23	TAKE BACK RETURN         	REG AIR   	yly along the furiously express foxes. 
4709991	138567	8568	5	50.00	80278.00	0.08	0.06	A	F	1994-05-26	1994-05-10	1994-06-16	TAKE BACK RETURN         	MAIL      	each slyly across the fluffily regu
5481601	163685	3686	3	44.00	76941.92	0.03	0.01	N	O	1998-02-24	1998-01-02	1998-03-07	TAKE BACK RETURN         	RAIL      	g deposits
4254375	81961	6978	1	20.00	38859.20	0.00	0.02	R	F	1994-05-23	1994-06-15	1994-06-08	TAKE BACK RETURN         	SHIP      	l deposits nod slyly regular din
1132160	155951	5952	5	39.00	78271.05	0.03	0.02	A	F	1994-02-07	1994-03-06	1994-02-08	COLLECT COD              	REG AIR   	fully about the slyly reg
3560967	180731	3250	2	5.00	9058.65	0.03	0.08	R	F	1992-06-15	1992-04-28	1992-07-05	TAKE BACK RETURN         	AIR       	 ironic, express instruct
5074886	64743	9756	6	27.00	46108.98	0.06	0.02	N	O	1996-04-29	1996-05-09	1996-05-02	NONE                     	SHIP      	gular accounts. deposits according 
1381382	127038	4575	1	28.00	29820.84	0.03	0.00	N	O	1998-07-13	1998-08-22	1998-07-21	NONE                     	AIR       	efully even requests.
4309600	120925	8462	5	7.00	13621.44	0.09	0.03	N	O	1996-12-06	1996-11-21	1996-12-28	COLLECT COD              	MAIL      	cuses integr
5234499	58034	3045	1	1.00	992.03	0.05	0.07	N	O	1997-09-01	1997-10-05	1997-09-17	NONE                     	AIR       	furiously final req
1863585	86638	9147	3	9.00	14621.67	0.10	0.08	R	F	1992-04-23	1992-04-20	1992-05-09	TAKE BACK RETURN         	REG AIR   	nts. foxes are furiou
1373925	185046	83	6	42.00	47503.68	0.04	0.03	R	F	1992-03-08	1992-03-16	1992-03-21	NONE                     	AIR       	deas haggle blithely-- car
1864259	51139	3645	3	8.00	8721.04	0.00	0.00	N	O	1995-09-06	1995-09-22	1995-09-12	NONE                     	AIR       	ial dolphins
5190021	128747	3772	5	44.00	78132.56	0.04	0.07	A	F	1993-01-24	1992-11-25	1993-02-21	TAKE BACK RETURN         	MAIL      	the slyly fi
2192032	117521	7522	1	29.00	44617.08	0.02	0.04	N	O	1996-06-03	1996-05-09	1996-06-10	COLLECT COD              	RAIL      	eodolites. blithely busy dolphins about th
1616928	3617	8618	5	33.00	50180.13	0.09	0.05	N	O	1998-07-03	1998-05-08	1998-07-31	COLLECT COD              	MAIL      	sleep unusual deposits. deposits of the f
